cat_a,cat_c,same_orig,mapping
circuit,city,False,9
circuit,city,True,9
circuit,gaussian,False,12
circuit,gaussian,True,12
circuit,uniform,False,9
circuit,uniform,True,9
city,circuit,False,13
city,circuit,True,13
city,gaussian,False,10
city,gaussian,True,10
city,uniform,False,7
city,uniform,True,7
gaussian,circuit,False,14
gaussian,circuit,True,14
gaussian,city,False,10
gaussian,city,True,10
gaussian,uniform,False,6
gaussian,uniform,True,6
uniform,circuit,False,6
uniform,circuit,True,6
uniform,city,False,15
uniform,city,True,15
uniform,gaussian,False,9
uniform,gaussian,True,9
